1513115637221, 0.07543945, 0.075927734, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115637267, 0.07543945, 0.07385254, 0.9897461, METAWEAR, SENSOR_ACCEL
1513115637317, 0.07458496, 0.07354736, 0.99035645, METAWEAR, SENSOR_ACCEL
1513115637364, 0.0758667, 0.07513428, 0.99017334, METAWEAR, SENSOR_ACCEL
1513115637413, 0.07507324, 0.07531738, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115637416, 0.07476807, 0.07495117, 0.98876953, METAWEAR, SENSOR_ACCEL
1513115637463, 0.07470703, 0.07458496, 0.989624, METAWEAR, SENSOR_ACCEL
1513115637511, 0.076171875, 0.07507324, 0.98968506, METAWEAR, SENSOR_ACCEL
1513115637561, 0.07647705, 0.07373047, 0.9894409, METAWEAR, SENSOR_ACCEL
1513115637608, 0.07678223, 0.07647705, 0.9894409, METAWEAR, SENSOR_ACCEL
1513115637656, 0.076416016, 0.0748291, 0.99053955, METAWEAR, SENSOR_ACCEL
1513115637662, 0.074401855, 0.074157715, 0.98999023, METAWEAR, SENSOR_ACCEL
1513115637706, 0.07550049, 0.074523926, 0.98931885, METAWEAR, SENSOR_ACCEL
1513115637756, 0.07476807, 0.07556152, 0.9904785, METAWEAR, SENSOR_ACCEL
1513115637803, 0.07598877, 0.07489014, 0.98968506, METAWEAR, SENSOR_ACCEL
1513115637851, 0.07537842, 0.07611084, 0.98999023, METAWEAR, SENSOR_ACCEL
1513115637905, 0.075683594, 0.07312012, 0.99072266, METAWEAR, SENSOR_ACCEL
