1518706528253, -0.006, 0.121, 1.047, METAWEAR, SENSOR_ACCEL
1518706528404, -0.005, 0.121, 1.05, METAWEAR, SENSOR_ACCEL
1518706528503, -0.002, 0.121, 1.05, METAWEAR, SENSOR_ACCEL
1518706528654, -0.001, 0.122, 1.05, METAWEAR, SENSOR_ACCEL
1518706528703, -0.001, 0.12, 1.05, METAWEAR, SENSOR_ACCEL
1518706528854, -0.004, 0.117, 1.051, METAWEAR, SENSOR_ACCEL
1518706528903, 0, 0.119, 1.049, METAWEAR, SENSOR_ACCEL
1518706528953, -0.003, 0.122, 1.049, METAWEAR, SENSOR_ACCEL
1518706529104, -0.012, 0.125, 1.05, METAWEAR, SENSOR_ACCEL
1518706529153, -0.006, 0.12, 1.05, METAWEAR, SENSOR_ACCEL
1518706529354, -0.008, 0.118, 1.047, METAWEAR, SENSOR_ACCEL
1518706529405, -0.002, 0.117, 1.048, METAWEAR, SENSOR_ACCEL
1518706529656, -0.003, 0.123, 1.05, METAWEAR, SENSOR_ACCEL
1518706529703, 0.002, 0.128, 1.052, METAWEAR, SENSOR_ACCEL
1518706529903, -0.003, 0.12, 1.051, METAWEAR, SENSOR_ACCEL
1518706530053, 0.004, 0.122, 1.052, METAWEAR, SENSOR_ACCEL
1518706530103, -0.007, 0.118, 1.048, METAWEAR, SENSOR_ACCEL
1518706530253, 0.005, 0.124, 1.052, METAWEAR, SENSOR_ACCEL
1518706530353, -0.008, 0.115, 1.05, METAWEAR, SENSOR_ACCEL
1518706530503, 0, 0.123, 1.051, METAWEAR, SENSOR_ACCEL
1518706530554, -0.006, 0.117, 1.048, METAWEAR, SENSOR_ACCEL
1518706530754, 0.003, 0.124, 1.051, METAWEAR, SENSOR_ACCEL
1518706530953, -0.004, 0.118, 1.051, METAWEAR, SENSOR_ACCEL
1518706531003, -0.008, 0.115, 1.047, METAWEAR, SENSOR_ACCEL
1518706531153, -0.006, 0.116, 1.047, METAWEAR, SENSOR_ACCEL
1518706531204, -0.012, 0.116, 1.048, METAWEAR, SENSOR_ACCEL
1518706531353, -0.012, 0.116, 1.049, METAWEAR, SENSOR_ACCEL
1518706531403, -0.008, 0.115, 1.049, METAWEAR, SENSOR_ACCEL
1518706531553, -0.008, 0.115, 1.047, METAWEAR, SENSOR_ACCEL
1518706531603, -0.006, 0.115, 1.047, METAWEAR, SENSOR_ACCEL
1518706531753, -0.002, 0.121, 1.051, METAWEAR, SENSOR_ACCEL
1518706531808, -0.001, 0.123, 1.05, METAWEAR, SENSOR_ACCEL
1518706532003, -0.001, 0.121, 1.05, METAWEAR, SENSOR_ACCEL
1518706532153, -0.002, 0.123, 1.048, METAWEAR, SENSOR_ACCEL
1518706532203, -0.009, 0.113, 1.047, METAWEAR, SENSOR_ACCEL
1518706532353, 0.004, 0.124, 1.05, METAWEAR, SENSOR_ACCEL
