1518705163622, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705163623, -0.671, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705163672, -0.671, -0.549, 0.061, METAWEAR, SENSOR_GYRO
1518705163674, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163677, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163717, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163720, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705163767, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705163777, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705163778, -0.549, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705163822, -0.549, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705163827, -0.61, -0.366, -0.061, METAWEAR, SENSOR_GYRO
1518705163875, -0.61, -0.366, 0.061, METAWEAR, SENSOR_GYRO
1518705163877, -0.549, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705163879, -0.549, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705163918, -0.671, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163922, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705163968, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705163973, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163977, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705164025, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705164027, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705164072, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705164074, -0.671, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705164076, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705164117, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705164121, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705164168, -0.488, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705164174, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705164178, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705164221, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705164225, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705164323, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705164325, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705164327, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705164328, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705164331, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705164368, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705164377, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705164378, -0.549, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705164472, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705164473, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705164476, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705164477, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705164479, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705164518, -0.61, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705164524, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
