1518705172228, -0.009, 0.121, 1.022, METAWEAR, SENSOR_ACCEL
1518705172271, -0.007, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705172322, -0.007, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705172373, -0.009, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
1518705172418, -0.008, 0.121, 1.021, METAWEAR, SENSOR_ACCEL
1518705172431, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705172476, -0.008, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
1518705172521, -0.009, 0.12, 1.024, METAWEAR, SENSOR_ACCEL
1518705172575, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705172622, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705172668, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705172675, -0.007, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705172721, -0.008, 0.12, 1.024, METAWEAR, SENSOR_ACCEL
1518705172773, -0.009, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705172868, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705172878, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705172888, -0.009, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705172921, -0.009, 0.119, 1.022, METAWEAR, SENSOR_ACCEL
1518705172971, -0.009, 0.121, 1.022, METAWEAR, SENSOR_ACCEL
1518705173018, -0.007, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705173069, -0.007, 0.12, 1.021, METAWEAR, SENSOR_ACCEL
1518705173077, -0.008, 0.12, 1.024, METAWEAR, SENSOR_ACCEL
1518705173122, -0.008, 0.119, 1.022, METAWEAR, SENSOR_ACCEL
1518705173172, -0.008, 0.119, 1.022, METAWEAR, SENSOR_ACCEL
1518705173218, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705173268, -0.007, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705173273, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705173318, -0.009, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705173422, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705173425, -0.009, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705173468, -0.008, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
1518705173478, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705173520, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705173575, -0.009, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705173618, -0.009, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705173668, -0.007, 0.121, 1.022, METAWEAR, SENSOR_ACCEL
1518705173675, -0.007, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705173720, -0.007, 0.12, 1.024, METAWEAR, SENSOR_ACCEL
1518705173778, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705173818, -0.009, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705173869, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705173875, -0.008, 0.119, 1.022, METAWEAR, SENSOR_ACCEL
1518705173921, -0.008, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
